family,feature,regime,horizon,n_vintages,n_folds,n_obs_test,ic_mean,ic_std,ic_t,ic_ci_low,ic_ci_high,gross_spread,net_spread,monotonicity,bucket_profile,bucket_edges,p_reversion,p_continuation,n_trades,win_rate,avg_pnl,sharpe,mfe_mean,mae_mean,confidence,sign_consistency
calendars,rsi_2,trend,25,21,17,69776,-0.021985132489149746,0.12854592822173636,-0.7051722656636824,-0.08309198790153322,0.039121722923233716,-0.0619841436649256,-0.0719841436649256,0.3,"[0.0603, 0.0509, 0.0292, 0.0599, 0.1222]","[0.0007, 11.4711, 37.7076, 65.8965, 88.242, 99.9983]",0.4788519637462236,0.5211480362537764,6195,0.45246166263115417,-0.032794188861985436,-0.051654302692309514,0.8438272800645682,-0.8224535916061341,10.577583984955236,0.5294117647058824
calendars,rsi_14,range,25,21,17,80283,-0.04989928640703456,0.10367052298863454,-1.984556675977283,-0.09918112478518289,-0.0006174480288862333,0.05188836201652322,0.04188836201652322,-0.7999999999999999,"[0.0793, 0.0797, 0.0609, -0.015, 0.0274]","[7.0499, 44.1025, 48.1675, 51.7552, 55.6804, 91.514]",0.5017336800693472,0.49826631993065285,6331,0.4830200600221134,-0.062235033959879935,-0.11509518209165238,0.7706491865424103,-0.8034891802242932,39.69113351954566,0.7058823529411765
calendars,rsi_14,trend,25,21,17,69776,-0.11109747726199372,0.1858186816393721,-2.465126915386527,-0.19943007144786537,-0.022764883076122067,0.09409508023780065,0.08409508023780066,-0.09999999999999999,"[0.0548, 0.0665, 0.2641, 0.1162, -0.0393]","[4.764, 30.7597, 39.016, 61.0938, 68.4748, 97.8354]",0.5035762413185446,0.4964237586814554,4543,0.4435395113361215,-0.2310323574730354,-0.3346547809737182,0.7988355712084525,-0.9896808276469293,57.519628025685634,0.8235294117647058
calendars,rsi_div_14,range,25,19,15,43662,-0.20125311243927146,0.28007835065950776,-2.7829710901050224,-0.3429923140369734,-0.05951391084156954,0.48524708233375596,0.47524708233375595,-0.9999999999999999,"[0.2849, 0.1744, 0.0723, -0.196, -0.2003]","[-3.236, -0.425, -0.1361, 0.1219, 0.4573, 2.5645]",0.5401719901719901,0.45982800982800986,3040,0.5101973684210527,0.1471480263157895,0.2788543615089135,0.8841381578947367,-0.6476315789473684,66.99745216919499,0.8666666666666667
calendars,rsi_div_14,trend,25,19,15,37775,0.11824341051875882,0.2831832636124815,1.6171674621442393,-0.025067093830293083,0.2615539148678107,0.02502709817073262,0.01502709817073262,-0.39999999999999997,"[0.0568, 0.2491, 0.2096, 0.0786, 0.0318]","[-6.3543, -0.9215, -0.3944, 0.3025, 0.8597, 3.253]",0.4740173792944697,0.5259826207055303,2149,0.4867380176826431,-0.1724197301070265,-0.27899839055462194,0.7645928338762216,-0.8588273615635179,32.94230015479006,0.7333333333333333
calendars,macd_div,range,25,19,15,39742,-0.13265875488134835,0.2155720790259822,-2.3833566513135924,-0.24175327895274026,-0.023564230809956427,0.31508148879949405,0.30508148879949404,-0.9999999999999999,"[0.1068, 0.085, -0.024, -0.1008, -0.2082]","[-2.6682, -0.6067, -0.2064, 0.1432, 0.5477, 3.0132]",0.5278972712680577,0.47210272873194226,3070,0.5205211726384364,0.1297654723127036,0.2530029231853696,0.8412019543973941,-0.6990684039087948,44.136234283585054,0.6666666666666666
calendars,macd_div,trend,25,19,15,34257,-0.09229847888093735,0.20459934465384377,-1.7471731016095982,-0.19584003320087104,0.01124307543899633,0.2735755188639507,0.2635755188639507,-0.7,"[0.3811, 0.1354, -0.0046, -0.0941, 0.1076]","[-4.8114, -0.5273, -0.1791, 0.1269, 0.5078, 2.9674]",0.5139218210148364,0.4860781789851636,2892,0.5252420470262794,0.1337413554633472,0.2520150419069688,0.8655186721991701,-0.6113347164591978,29.119551693493303,0.6
calendars,mom_decel_10,range,25,21,17,80283,-0.018027788464225883,0.08086448037242641,-0.9191980915719888,-0.05646832235334073,0.020412745424888967,-0.002281261754738414,-0.012281261754738414,0.0,"[0.0016, 0.0922, 0.0816, 0.0408, 0.0039]","[-13.6533, -3.9076, -1.271, 1.0481, 3.6569, 13.5591]",0.5008781834148789,0.4991218165851211,6284,0.5089115213239974,-0.017598663271801377,-0.032674426638609005,0.8011266709102483,-0.7900938892425207,13.787971373579833,0.5294117647058824
calendars,mom_decel_10,trend,25,21,17,69776,0.02752175056268254,0.16590222450577638,0.6839877217432454,-0.05134316087955343,0.1063866620049185,-0.014601318718175438,-0.02460131871817544,0.39999999999999997,"[0.104, 0.027, 0.0293, 0.0563, 0.1186]","[-13.6004, -2.9925, -0.7291, 1.2644, 3.5706, 15.7842]",0.5154953319502075,0.48450466804979253,6080,0.49654605263157897,-0.03280756578947365,-0.047386569463334964,0.8107516447368419,-0.8574358552631579,6.839877217432454,0.35294117647058826
calendars,er_drop_20,range,25,20,16,71863,-0.02148173901018106,0.15323120857786235,-0.5607666795701193,-0.09656503121333361,0.05360155319297148,0.04527990792134089,0.035279907921340885,-0.6,"[0.0687, 0.1167, -0.0002, 0.0593, 0.0234]","[-0.7775, -0.2004, -0.1104, -0.0436, 0.0121, 0.1364]",0.4816523454007607,0.5183476545992394,6004,0.4900066622251832,-0.06032811459027313,-0.11209165018830398,0.7839656895403065,-0.7864090606262493,6.886608345597955,0.4375
